1000 milliseconds	2468 MB/s	42590 short_reads/s	0 short_writes_echo/s	150 cpu_user_milliseconds	1063 cpu_system_milliseconds	178 minor_page_faults/s	0 major_page_faults/s	111043 yields/s	1543 preempts/s
2000 milliseconds	2427 MB/s	40254 short_reads/s	0 short_writes_echo/s	109 cpu_user_milliseconds	1092 cpu_system_milliseconds	3 minor_page_faults/s	0 major_page_faults/s	109981 yields/s	1227 preempts/s
3000 milliseconds	2737 MB/s	48599 short_reads/s	0 short_writes_echo/s	130 cpu_user_milliseconds	1147 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	123329 yields/s	69 preempts/s
4000 milliseconds	2699 MB/s	46877 short_reads/s	0 short_writes_echo/s	135 cpu_user_milliseconds	1162 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	123605 yields/s	34 preempts/s
5000 milliseconds	2687 MB/s	45676 short_reads/s	0 short_writes_echo/s	143 cpu_user_milliseconds	1148 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	122419 yields/s	37 preempts/s
6000 milliseconds	2716 MB/s	49034 short_reads/s	0 short_writes_echo/s	149 cpu_user_milliseconds	1154 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	125258 yields/s	80 preempts/s
7000 milliseconds	2633 MB/s	44280 short_reads/s	0 short_writes_echo/s	146 cpu_user_milliseconds	1133 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	121306 yields/s	298 preempts/s
8000 milliseconds	2693 MB/s	46625 short_reads/s	0 short_writes_echo/s	146 cpu_user_milliseconds	1149 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	123962 yields/s	20 preempts/s
9000 milliseconds	2694 MB/s	46594 short_reads/s	0 short_writes_echo/s	116 cpu_user_milliseconds	1177 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	124186 yields/s	53 preempts/s
10000 milliseconds	2748 MB/s	50639 short_reads/s	0 short_writes_echo/s	152 cpu_user_milliseconds	1148 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	125591 yields/s	29 preempts/s
11000 milliseconds	2677 MB/s	46282 short_reads/s	0 short_writes_echo/s	133 cpu_user_milliseconds	1154 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	122443 yields/s	70 preempts/s
12000 milliseconds	2661 MB/s	46116 short_reads/s	0 short_writes_echo/s	139 cpu_user_milliseconds	1140 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	122991 yields/s	118 preempts/s
13000 milliseconds	2517 MB/s	44639 short_reads/s	0 short_writes_echo/s	122 cpu_user_milliseconds	1087 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	114265 yields/s	2219 preempts/s
14000 milliseconds	2736 MB/s	49756 short_reads/s	0 short_writes_echo/s	144 cpu_user_milliseconds	1152 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	125069 yields/s	27 preempts/s
15000 milliseconds	2677 MB/s	44628 short_reads/s	0 short_writes_echo/s	146 cpu_user_milliseconds	1161 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	122305 yields/s	26 preempts/s
16000 milliseconds	2655 MB/s	44408 short_reads/s	0 short_writes_echo/s	138 cpu_user_milliseconds	1157 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	121347 yields/s	119 preempts/s
17000 milliseconds	2665 MB/s	46154 short_reads/s	0 short_writes_echo/s	163 cpu_user_milliseconds	1122 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	121646 yields/s	150 preempts/s
18000 milliseconds	2677 MB/s	44942 short_reads/s	0 short_writes_echo/s	158 cpu_user_milliseconds	1137 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	122731 yields/s	24 preempts/s
19000 milliseconds	2704 MB/s	46495 short_reads/s	0 short_writes_echo/s	144 cpu_user_milliseconds	1140 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	123295 yields/s	23 preempts/s
20000 milliseconds	2689 MB/s	45816 short_reads/s	0 short_writes_echo/s	139 cpu_user_milliseconds	1168 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	123244 yields/s	84 preempts/s
21000 milliseconds	2690 MB/s	48217 short_reads/s	0 short_writes_echo/s	140 cpu_user_milliseconds	1154 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	124495 yields/s	99 preempts/s
22000 milliseconds	2644 MB/s	44679 short_reads/s	0 short_writes_echo/s	154 cpu_user_milliseconds	1120 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	121296 yields/s	418 preempts/s
23000 milliseconds	2646 MB/s	43666 short_reads/s	0 short_writes_echo/s	132 cpu_user_milliseconds	1159 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	121398 yields/s	106 preempts/s
24000 milliseconds	2657 MB/s	43148 short_reads/s	0 short_writes_echo/s	131 cpu_user_milliseconds	1153 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	122880 yields/s	13 preempts/s
25000 milliseconds	2734 MB/s	49898 short_reads/s	0 short_writes_echo/s	149 cpu_user_milliseconds	1144 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	126199 yields/s	15 preempts/s
