1000 milliseconds	1261 MB/s	0 short_reads/s	0 short_writes_echo/s	190 cpu_user_milliseconds	808 cpu_system_milliseconds	179 minor_page_faults/s	0 major_page_faults/s	718 yields/s	14 preempts/s
2000 milliseconds	1231 MB/s	0 short_reads/s	0 short_writes_echo/s	223 cpu_user_milliseconds	767 cpu_system_milliseconds	2 minor_page_faults/s	0 major_page_faults/s	1193 yields/s	26 preempts/s
3000 milliseconds	1307 MB/s	0 short_reads/s	0 short_writes_echo/s	219 cpu_user_milliseconds	779 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	208 yields/s	1 preempts/s
4000 milliseconds	1222 MB/s	0 short_reads/s	0 short_writes_echo/s	183 cpu_user_milliseconds	807 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	3197 yields/s	0 preempts/s
5000 milliseconds	1257 MB/s	0 short_reads/s	0 short_writes_echo/s	208 cpu_user_milliseconds	788 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	737 yields/s	2 preempts/s
6000 milliseconds	1289 MB/s	0 short_reads/s	0 short_writes_echo/s	201 cpu_user_milliseconds	796 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	422 yields/s	4 preempts/s
7000 milliseconds	1262 MB/s	0 short_reads/s	0 short_writes_echo/s	200 cpu_user_milliseconds	798 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	323 yields/s	4 preempts/s
8000 milliseconds	1265 MB/s	0 short_reads/s	0 short_writes_echo/s	200 cpu_user_milliseconds	796 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	781 yields/s	2 preempts/s
9000 milliseconds	1247 MB/s	0 short_reads/s	0 short_writes_echo/s	217 cpu_user_milliseconds	777 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	1668 yields/s	1 preempts/s
10000 milliseconds	1277 MB/s	0 short_reads/s	0 short_writes_echo/s	193 cpu_user_milliseconds	803 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	680 yields/s	5 preempts/s
11000 milliseconds	1273 MB/s	0 short_reads/s	0 short_writes_echo/s	192 cpu_user_milliseconds	806 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	340 yields/s	0 preempts/s
12000 milliseconds	1272 MB/s	0 short_reads/s	0 short_writes_echo/s	202 cpu_user_milliseconds	792 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	1190 yields/s	3 preempts/s
13000 milliseconds	1267 MB/s	0 short_reads/s	0 short_writes_echo/s	216 cpu_user_milliseconds	781 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	348 yields/s	2 preempts/s
14000 milliseconds	1254 MB/s	0 short_reads/s	0 short_writes_echo/s	228 cpu_user_milliseconds	763 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	2309 yields/s	27 preempts/s
15000 milliseconds	1267 MB/s	0 short_reads/s	0 short_writes_echo/s	185 cpu_user_milliseconds	811 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	560 yields/s	2 preempts/s
16000 milliseconds	1268 MB/s	0 short_reads/s	0 short_writes_echo/s	220 cpu_user_milliseconds	774 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	932 yields/s	23 preempts/s
17000 milliseconds	1275 MB/s	0 short_reads/s	0 short_writes_echo/s	227 cpu_user_milliseconds	769 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	273 yields/s	15 preempts/s
18000 milliseconds	1272 MB/s	0 short_reads/s	0 short_writes_echo/s	240 cpu_user_milliseconds	758 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	446 yields/s	3 preempts/s
